St Nom la Bretêche	L'Etang la Ville	Marly le Roi	Louveciennes	Bougival	La Celle St Cloud	Vaucresson	Garches	St Cloud	Le Val d'Or	Suresnes	Puteaux	La Défense	Courbevoie	Bécon les Bruyères	Paris Saint-Lazare
-----	-----	-----	22:17	22:19	22:22	22:24	22:26	-----	-----	-----	-----	-----	-----	-----	-----	
22:10	22:16	22:19	22:21	22:23	22:26	22:28	22:30	22:33	22:37	22:39	22:41	22:43	22:46	22:49	22:51	
22:25	22:31	22:34	22:36	22:38	22:41	22:43	22:45	-----	-----	-----	-----	-----	-----	-----	-----	
22:40	22:46	22:49	22:51	22:53	22:56	22:58	23:00	23:03	23:07	23:09	23:11	23:13	23:16	23:19	23:21	
22:55	23:01	23:04	23:06	23:08	23:11	23:13	23:15	-----	-----	-----	-----	-----	-----	-----	-----	
-----	-----	-----	23:17	23:19	23:22	23:24	23:26	-----	-----	-----	-----	-----	-----	-----	-----	
23:10	23:16	23:19	23:21	23:23	23:26	23:28	23:30	23:33	23:37	23:39	23:41	23:43	23:46	23:48	23:51	
23:25	23:31	23:34	23:36	23:38	23:41	23:43	23:45	-----	-----	-----	-----	-----	-----	-----	-----	
23:40	23:46	23:49	23:51	23:53	23:56	23:58	00:00	00:03	00:07	00:09	00:11	00:13	00:16	00:18	00:21	
23:55	00:01	00:04	00:06	00:08	00:11	00:13	00:15	-----	-----	-----	-----	-----	-----	-----	-----	
-----	-----	-----	00:17	00:19	00:22	00:24	00:26	-----	-----	-----	-----	-----	-----	-----	-----	
00:10	00:16	00:19	00:21	00:23	00:26	00:28	00:30	00:33	00:37	00:39	00:41	00:43	00:46	00:48	00:51	
00:25	00:31	00:34	00:36	00:38	00:41	00:43	00:45	-----	-----	-----	-----	-----	-----	-----	-----	
00:47	00:53	00:56	00:58	01:00	01:03	01:05	01:07	01:10	01:14	01:16	01:18	01:20	01:23	01:25	01:28	
01:08	01:17	01:20	01:22	01:24	01:29	01:29	01:32	-----	-----	-----	-----	-----	-----	-----	-----	
-----	-----	-----	06:00	06:02	06:05	06:07	06:09	-----	-----	-----	-----	-----	-----	-----	-----	
05:52	05:58	06:01	06:03	06:05	06:08	06:10	06:13	-----	-----	-----	-----	-----	-----	-----	-----	
06:05	06:11	06:14	06:16	06:18	06:21	06:23	06:25	06:28	06:32	06:34	06:36	06:38	06:41	06:43	06:46	
-----	-----	-----	06:30	06:32	06:35	06:37	06:39	-----	-----	-----	-----	-----	-----	-----	-----	
06:22	06:28	06:31	06:34	06:36	06:39	06:41	06:43	-----	-----	-----	-----	-----	-----	-----	-----	
06:33	-----	-----	06:42	-----	-----	-----	06:47	06:51	06:55	06:57	07:00	07:02	07:05	07:08	07:11	
06:37	06:43	06:46	06:49	06:51	06:54	06:56	06:58	-----	-----	-----	-----	-----	-----	-----	-----	
-----	-----	-----	07:00	07:02	07:05	07:07	07:09	-----	-----	-----	-----	-----	-----	-----	-----	
06:52	06:58	07:01	07:04	07:06	07:09	07:11	07:13	-----	-----	-----	-----	-----	-----	-----	-----	
07:03	-----	-----	07:12	-----	-----	-----	07:17	07:22	07:25	07:28	07:30	07:33	07:36	07:41	07:44	
07:05	07:12	07:15	07:18	07:20	07:23	07:26	07:28	-----	-----	-----	-----	-----	-----	-----	-----	
-----	-----	-----	07:29	07:31	07:33	07:36	07:38	-----	-----	-----	-----	-----	-----	-----	-----	
07:20	07:27	07:30	07:33	07:35	07:38	07:41	07:43	-----	-----	-----	-----	-----	-----	-----	-----	
07:33	-----	-----	07:42	-----	-----	-----	07:47	07:52	07:55	07:58	08:00	08:03	08:06	08:11	08:14	
07:35	07:42	07:45	07:48	07:50	07:53	07:56	07:58	-----	-----	-----	-----	-----	-----	-----	-----	
-----	-----	-----	07:59	08:01	08:03	08:06	08:08	-----	-----	-----	-----	-----	-----	-----	-----	
07:50	07:57	08:00	08:03	08:05	08:08	08:11	08:13	-----	-----	-----	-----	-----	-----	-----	-----	
08:03	-----	-----	08:12	-----	-----	-----	08:17	08:22	08:25	08:27	08:30	08:32	08:36	08:40	08:43	
08:05	08:12	08:15	08:18	08:20	08:23	08:26	08:28	-----	-----	-----	-----	-----	-----	-----	-----	
-----	-----	-----	08:29	08:31	08:33	08:36	08:38	-----	-----	-----	-----	-----	-----	-----	-----	
08:20	08:27	08:30	08:33	08:35	08:38	08:41	08:42	-----	-----	-----	-----	-----	-----	-----	-----	
08:30	-----	-----	08:39	-----	-----	-----	08:45	-----	-----	-----	-----	-----	-----	-----	-----	
08:33	-----	-----	08:42	-----	-----	-----	08:47	08:52	08:55	08:57	09:00	09:02	09:06	09:10	09:13	
08:35	08:42	08:45	08:48	08:50	08:53	08:56	08:57	-----	-----	-----	-----	-----	-----	-----	-----	
08:46	-----	-----	08:55	-----	-----	-----	09:01	-----	-----	-----	-----	-----	-----	-----	-----	
-----	-----	-----	08:59	09:01	09:03	09:06	09:08	-----	-----	-----	-----	-----	-----	-----	-----	
08:50	08:57	09:00	09:03	09:05	09:08	09:11	09:12	-----	-----	-----	-----	-----	-----	-----	-----	
09:01	-----	-----	09:10	-----	-----	-----	09:16	-----	-----	-----	-----	-----	-----	-----	-----	
09:06	-----	-----	09:15	-----	-----	-----	09:20	09:24	09:28	09:30	09:32	09:34	09:38	09:40	09:43	
09:09	09:15	09:18	09:20	09:23	09:25	09:28	09:29	-----	-----	-----	-----	-----	-----	-----	-----	
09:17	-----	-----	09:26	-----	-----	-----	09:31	-----	-----	-----	-----	-----	-----	-----	-----	
-----	-----	-----	09:30	09:32	09:35	09:37	09:39	-----	-----	-----	-----	-----	-----	-----	-----	
09:24	09:30	09:33	09:35	09:38	09:40	09:43	09:44	-----	-----	-----	-----	-----	-----	-----	-----	
09:32	-----	-----	09:41	-----	-----	-----	09:46	-----	-----	-----	-----	-----	-----	-----	-----	
09:37	-----	-----	09:46	-----	-----	-----	09:51	09:54	09:58	10:00	10:02	10:05	10:08	10:10	10:13	
09:39	09:45	09:48	09:50	09:53	09:55	09:58	09:59	-----	-----	-----	-----	-----	-----	-----	-----	
09:47	-----	-----	09:56	-----	-----	-----	10:01	-----	-----	-----	-----	-----	-----	-----	-----	
-----	-----	-----	10:00	10:02	10:05	10:07	10:09	-----	-----	-----	-----	-----	-----	-----	-----	
09:54	10:00	10:03	10:05	10:08	10:10	10:13	10:14	-----	-----	-----	-----	-----	-----	-----	-----	
10:02	-----	-----	10:11	-----	-----	-----	10:16	-----	-----	-----	-----	-----	-----	-----	-----	
10:07	-----	-----	10:16	-----	-----	-----	10:21	10:24	10:28	10:30	10:32	10:35	10:38	10:40	10:43	
10:09	10:15	10:18	10:20	10:23	10:25	10:28	10:29	-----	-----	-----	-----	-----	-----	-----	-----	
10:17	-----	-----	10:26	-----	-----	-----	10:31	-----	-----	-----	-----	-----	-----	-----	-----	
-----	-----	-----	10:30	10:32	10:35	10:37	10:39	-----	-----	-----	-----	-----	-----	-----	-----	
10:24	10:30	10:33	10:35	10:38	10:40	10:43	10:44	-----	-----	-----	-----	-----	-----	-----	-----	
10:32	-----	-----	10:41	-----	-----	-----	10:46	-----	-----	-----	-----	-----	-----	-----	-----	
10:37	-----	-----	10:46	-----	-----	-----	10:51	10:54	10:58	11:00	11:02	11:05	11:08	11:10	11:13	
10:39	10:45	10:48	10:50	10:53	10:55	10:58	10:59	-----	-----	-----	-----	-----	-----	-----	-----	
10:47	-----	-----	10:56	-----	-----	-----	11:01	-----	-----	-----	-----	-----	-----	-----	-----	
-----	-----	-----	11:00	11:02	11:05	11:07	11:09	-----	-----	-----	-----	-----	-----	-----	-----	
10:54	11:00	11:03	11:05	11:08	11:10	11:13	11:14	-----	-----	-----	-----	-----	-----	-----	-----	
11:02	-----	-----	11:11	-----	-----	-----	11:16	-----	-----	-----	-----	-----	-----	-----	-----	
11:07	-----	-----	11:16	-----	-----	-----	11:21	11:24	11:28	11:30	11:32	11:35	11:38	11:40	11:43	
11:09	11:15	11:18	11:20	11:23	11:25	11:28	11:29	-----	-----	-----	-----	-----	-----	-----	-----	
11:17	-----	-----	11:26	-----	-----	-----	11:31	-----	-----	-----	-----	-----	-----	-----	-----	
-----	-----	-----	11:30	11:32	11:35	11:37	11:39	-----	-----	-----	-----	-----	-----	-----	-----	
11:24	11:30	11:33	11:35	11:38	11:40	11:43	11:44	-----	-----	-----	-----	-----	-----	-----	-----	
11:32	-----	-----	11:41	-----	-----	-----	11:46	-----	-----	-----	-----	-----	-----	-----	-----	
11:37	-----	-----	11:46	-----	-----	-----	11:51	11:54	11:58	12:00	12:02	12:05	12:08	12:10	12:13	
11:39	11:45	11:48	11:50	11:53	11:55	11:58	11:59	-----	-----	-----	-----	-----	-----	-----	-----	
11:47	-----	-----	11:56	-----	-----	-----	12:01	-----	-----	-----	-----	-----	-----	-----	-----	
-----	-----	-----	12:00	12:02	12:05	12:07	12:09	-----	-----	-----	-----	-----	-----	-----	-----	
11:54	12:00	12:03	12:05	12:08	12:10	12:13	12:14	-----	-----	-----	-----	-----	-----	-----	-----	
12:02	-----	-----	12:11	-----	-----	-----	12:16	-----	-----	-----	-----	-----	-----	-----	-----	
12:07	-----	-----	12:16	-----	-----	-----	12:21	12:24	12:28	12:30	12:32	12:35	12:38	12:40	12:43	
12:09	12:15	12:18	12:20	12:23	12:25	12:28	12:29	-----	-----	-----	-----	-----	-----	-----	-----	
12:17	-----	-----	12:26	-----	-----	-----	12:31	-----	-----	-----	-----	-----	-----	-----	-----	
-----	-----	-----	12:30	12:32	12:35	12:37	12:39	-----	-----	-----	-----	-----	-----	-----	-----	
12:24	12:30	12:33	12:35	12:38	12:40	12:43	12:44	-----	-----	-----	-----	-----	-----	-----	-----	
12:32	-----	-----	12:41	-----	-----	-----	12:46	-----	-----	-----	-----	-----	-----	-----	-----	
12:37	-----	-----	12:46	-----	-----	-----	12:51	12:54	12:58	13:00	13:02	13:05	13:08	13:10	13:13	
12:39	12:45	12:48	12:50	12:53	12:55	12:58	12:59	-----	-----	-----	-----	-----	-----	-----	-----	
12:47	-----	-----	12:56	-----	-----	-----	13:01	-----	-----	-----	-----	-----	-----	-----	-----	
-----	-----	-----	13:00	13:02	13:05	13:07	13:09	-----	-----	-----	-----	-----	-----	-----	-----	
12:54	13:00	13:03	13:05	13:08	13:10	13:13	13:14	-----	-----	-----	-----	-----	-----	-----	-----	
13:02	-----	-----	13:11	-----	-----	-----	13:16	-----	-----	-----	-----	-----	-----	-----	-----	
13:07	-----	-----	13:16	-----	-----	-----	13:21	13:24	13:28	13:30	13:32	13:35	13:38	13:40	13:43	
13:09	13:15	13:18	13:20	13:23	13:25	13:28	13:29	-----	-----	-----	-----	-----	-----	-----	-----	
13:17	-----	-----	13:26	-----	-----	-----	13:31	-----	-----	-----	-----	-----	-----	-----	-----	
-----	-----	-----	13:30	13:32	13:35	13:37	13:39	-----	-----	-----	-----	-----	-----	-----	-----	
13:24	13:30	13:33	13:35	13:38	13:40	13:43	13:44	-----	-----	-----	-----	-----	-----	-----	-----	
13:32	-----	-----	13:41	-----	-----	-----	13:46	-----	-----	-----	-----	-----	-----	-----	-----	
13:37	-----	-----	13:46	-----	-----	-----	13:51	13:54	13:58	14:00	14:02	14:05	14:08	14:10	14:13	
13:39	13:45	13:48	13:50	13:53	13:55	13:58	13:59	-----	-----	-----	-----	-----	-----	-----	-----	
13:47	-----	-----	13:56	-----	-----	-----	14:01	-----	-----	-----	-----	-----	-----	-----	-----	
-----	-----	-----	14:00	14:02	14:05	14:07	14:09	-----	-----	-----	-----	-----	-----	-----	-----	
13:54	14:00	14:03	14:05	14:08	14:10	14:13	14:14	-----	-----	-----	-----	-----	-----	-----	-----	
14:02	-----	-----	14:11	-----	-----	-----	14:16	-----	-----	-----	-----	-----	-----	-----	-----	
14:07	-----	-----	14:16	-----	-----	-----	14:21	14:24	14:28	14:30	14:32	14:35	14:38	14:40	14:43	
14:09	14:15	14:18	14:20	14:23	14:25	14:28	14:29	-----	-----	-----	-----	-----	-----	-----	-----	
14:17	-----	-----	14:26	-----	-----	-----	14:31	-----	-----	-----	-----	-----	-----	-----	-----	
-----	-----	-----	14:30	14:32	14:35	14:37	14:39	-----	-----	-----	-----	-----	-----	-----	-----	
14:24	14:30	14:33	14:35	14:38	14:40	14:43	14:44	-----	-----	-----	-----	-----	-----	-----	-----	
14:32	-----	-----	14:41	-----	-----	-----	14:46	-----	-----	-----	-----	-----	-----	-----	-----	
14:37	-----	-----	14:46	-----	-----	-----	14:51	14:54	14:58	15:00	15:02	15:05	15:08	15:10	15:13	
14:39	14:45	14:48	14:50	14:53	14:55	14:58	14:59	-----	-----	-----	-----	-----	-----	-----	-----	
14:47	-----	-----	14:56	-----	-----	-----	15:01	-----	-----	-----	-----	-----	-----	-----	-----	
-----	-----	-----	15:00	15:02	15:05	15:07	15:09	-----	-----	-----	-----	-----	-----	-----	-----	
14:54	15:00	15:03	15:05	15:08	15:10	15:13	15:14	-----	-----	-----	-----	-----	-----	-----	-----	
15:02	-----	-----	15:11	-----	-----	-----	15:16	-----	-----	-----	-----	-----	-----	-----	-----	
15:07	-----	-----	15:16	-----	-----	-----	15:21	15:24	15:28	15:30	15:32	15:35	15:38	15:40	15:43	
15:09	15:15	15:18	15:20	15:23	15:25	15:28	15:29	-----	-----	-----	-----	-----	-----	-----	-----	
15:17	-----	-----	15:26	-----	-----	-----	15:31	-----	-----	-----	-----	-----	-----	-----	-----	
-----	-----	-----	15:30	15:32	15:35	15:37	15:39	-----	-----	-----	-----	-----	-----	-----	-----	
15:24	15:30	15:33	15:35	15:38	15:40	15:43	15:44	-----	-----	-----	-----	-----	-----	-----	-----	
15:32	-----	-----	15:41	-----	-----	-----	15:46	-----	-----	-----	-----	-----	-----	-----	-----	
15:37	-----	-----	15:46	-----	-----	-----	15:51	15:54	15:58	16:00	16:02	16:05	16:08	16:10	16:13	
15:39	15:45	15:48	15:50	15:53	15:55	15:58	15:59	-----	-----	-----	-----	-----	-----	-----	-----	
15:47	-----	-----	15:56	-----	-----	-----	16:01	-----	-----	-----	-----	-----	-----	-----	-----	
-----	-----	-----	15:59	16:01	16:04	16:06	16:08	-----	-----	-----	-----	-----	-----	-----	-----	
15:50	15:56	16:00	16:02	16:04	16:07	16:10	16:12	-----	-----	-----	-----	-----	-----	-----	-----	
16:00	-----	-----	16:09	-----	-----	-----	16:15	-----	-----	-----	-----	-----	-----	-----	-----	
16:03	-----	-----	16:12	-----	-----	-----	16:17	16:22	16:25	16:27	16:30	16:32	16:36	16:38	16:41	
16:05	16:11	16:15	16:17	16:19	16:22	16:25	16:27	-----	-----	-----	-----	-----	-----	-----	-----	
16:15	-----	-----	16:24	-----	-----	-----	16:30	-----	-----	-----	-----	-----	-----	-----	-----	
-----	-----	-----	16:29	16:31	16:34	16:36	16:38	-----	-----	-----	-----	-----	-----	-----	-----	
16:20	16:26	16:30	16:32	16:34	16:37	16:40	16:42	-----	-----	-----	-----	-----	-----	-----	-----	
16:30	-----	-----	16:39	-----	-----	-----	16:45	-----	-----	-----	-----	-----	-----	-----	-----	
16:33	-----	-----	16:42	-----	-----	-----	16:47	16:52	16:55	16:57	17:00	17:02	17:06	17:08	17:11	
16:35	16:41	16:45	16:47	16:49	16:52	16:55	16:57	-----	-----	-----	-----	-----	-----	-----	-----	
16:45	-----	-----	16:53	-----	-----	-----	17:00	-----	-----	-----	-----	-----	-----	-----	-----	
-----	-----	-----	16:59	17:01	17:04	17:06	17:08	-----	-----	-----	-----	-----	-----	-----	-----	
16:50	16:56	17:00	17:02	17:04	17:07	17:10	17:12	-----	-----	-----	-----	-----	-----	-----	-----	
17:00	-----	-----	17:09	-----	-----	-----	17:15	-----	-----	-----	-----	-----	-----	-----	-----	
17:03	-----	-----	17:12	-----	-----	-----	17:17	17:22	17:25	17:27	17:30	17:32	17:36	17:38	17:41	
17:05	17:11	17:15	17:17	17:19	17:22	17:25	17:27	-----	-----	-----	-----	-----	-----	-----	-----	
17:15	-----	-----	17:24	-----	-----	-----	17:30	-----	-----	-----	-----	-----	-----	-----	-----	
-----	-----	-----	17:29	17:31	17:34	17:36	17:38	-----	-----	-----	-----	-----	-----	-----	-----	
17:20	17:26	17:30	17:32	17:34	17:37	17:40	17:42	-----	-----	-----	-----	-----	-----	-----	-----	
17:30	-----	-----	17:39	-----	-----	-----	17:45	-----	-----	-----	-----	-----	-----	-----	-----	
17:33	-----	-----	17:42	-----	-----	-----	17:48	17:52	17:56	17:58	18:00	18:03	18:06	18:09	18:11	
17:35	17:41	17:45	17:47	17:49	17:52	17:55	17:57	-----	-----	-----	-----	-----	-----	-----	-----	
17:45	-----	-----	17:54	-----	-----	-----	18:00	-----	-----	-----	-----	-----	-----	-----	-----	
17:48	-----	-----	17:57	-----	-----	-----	18:02	18:07	18:10	18:12	18:15	18:17	18:21	18:23	18:26	
-----	-----	-----	17:59	-----	-----	-----	18:08	-----	-----	-----	-----	-----	-----	-----	-----	
17:50	17:56	18:00	18:02	18:04	18:07	18:10	18:12	-----	-----	-----	-----	-----	-----	-----	-----	
18:00	-----	-----	18:09	-----	-----	-----	18:15	-----	-----	-----	-----	-----	-----	-----	-----	
18:03	-----	-----	18:12	-----	-----	-----	18:17	18:22	18:25	18:27	18:30	18:32	18:36	18:38	18:41	
18:05	18:12	18:15	18:17	18:19	18:22	18:25	18:27	-----	-----	-----	-----	-----	-----	-----	-----	
18:15	-----	-----	18:24	-----	-----	-----	18:30	-----	-----	-----	-----	-----	-----	-----	-----	
18:18	-----	-----	18:27	-----	-----	-----	18:32	18:37	18:40	18:42	18:45	18:47	18:51	18:53	18:56	
-----	-----	-----	18:29	18:31	18:34	18:36	18:38	-----	-----	-----	-----	-----	-----	-----	-----	
18:20	18:26	18:30	18:32	18:34	18:37	18:40	18:42	-----	-----	-----	-----	-----	-----	-----	-----	
18:30	-----	-----	18:39	-----	-----	-----	18:45	-----	-----	-----	-----	-----	-----	-----	-----	
18:33	-----	-----	18:42	-----	-----	-----	18:47	18:52	18:55	18:57	19:00	19:02	19:06	19:08	19:11	
18:35	18:41	18:45	18:47	18:49	00:00	18:55	18:57	-----	-----	-----	-----	-----	-----	-----	-----	
18:45	-----	-----	18:54	-----	-----	-----	19:00	-----	-----	-----	-----	-----	-----	-----	-----	
18:48	-----	-----	18:57	-----	-----	-----	19:02	19:07	19:10	19:12	19:15	19:17	19:21	19:23	19:26	
-----	-----	-----	18:59	19:01	19:04	19:06	19:08	-----	-----	-----	-----	-----	-----	-----	-----	
18:50	18:56	19:00	19:02	19:04	19:07	19:10	19:12	-----	-----	-----	-----	-----	-----	-----	-----	
19:00	-----	-----	19:09	-----	-----	-----	19:15	-----	-----	-----	-----	-----	-----	-----	-----	
19:03	-----	-----	19:12	-----	-----	-----	19:17	19:22	19:25	19:27	19:30	19:32	19:36	19:38	19:41	
19:05	19:11	19:15	19:17	19:19	19:22	19:25	19:27	-----	-----	-----	-----	-----	-----	-----	-----	
19:15	-----	-----	19:24	-----	-----	-----	19:30	-----	-----	-----	-----	-----	-----	-----	-----	
19:18	-----	-----	19:27	-----	-----	-----	19:32	19:37	19:40	19:42	19:45	19:47	19:51	19:53	19:56	
-----	-----	-----	19:29	19:31	19:34	19:36	19:38	-----	-----	-----	-----	-----	-----	-----	-----	
19:20	19:26	19:30	19:32	19:34	19:37	19:40	19:42	-----	-----	-----	-----	-----	-----	-----	-----	
19:30	-----	-----	19:39	-----	-----	-----	19:45	-----	-----	-----	-----	-----	-----	-----	-----	
19:33	-----	-----	19:42	-----	-----	-----	19:47	19:52	19:55	19:57	20:00	20:02	20:06	20:08	20:11	
19:35	19:41	19:45	19:47	19:49	19:52	19:55	19:57	-----	-----	-----	-----	-----	-----	-----	-----	
19:45	-----	-----	19:54	-----	-----	-----	20:00	-----	-----	-----	-----	-----	-----	-----	-----	
-----	-----	-----	19:59	20:01	20:04	20:06	20:08	-----	-----	-----	-----	-----	-----	-----	-----	
19:50	19:56	20:00	20:02	20:04	20:07	20:10	20:12	-----	-----	-----	-----	-----	-----	-----	-----	
20:00	-----	-----	20:09	-----	-----	-----	20:15	-----	-----	-----	-----	-----	-----	-----	-----	
20:03	-----	-----	20:12	-----	-----	-----	20:17	20:22	20:25	20:27	20:29	20:32	20:35	23:37	20:40	
20:05	20:11	20:15	20:17	20:19	20:22	20:25	20:27	-----	-----	-----	-----	-----	-----	-----	-----	
20:15	-----	-----	20:24	-----	-----	-----	20:30	-----	-----	-----	-----	-----	-----	-----	-----	
-----	-----	-----	20:29	20:31	20:34	20:36	20:38	-----	-----	-----	-----	-----	-----	-----	-----	
20:20	20:26	20:30	20:32	20:34	20:37	20:40	20:42	-----	-----	-----	-----	-----	-----	-----	-----	
20:28	-----	-----	20:37	-----	-----	-----	20:42	20:46	20:50	20:52	20:54	20:56	21:00	21:02	21:05	
20:31	-----	-----	20:40	-----	-----	-----	20:46	-----	-----	-----	-----	-----	-----	-----	-----	
20:35	20:41	20:45	20:47	20:49	20:52	20:55	20:57	-----	-----	-----	-----	-----	-----	-----	-----	
20:45	-----	-----	20:54	-----	-----	-----	21:00	-----	-----	-----	-----	-----	-----	-----	-----	
20:48	-----	-----	20:57	-----	-----	-----	21:02	21:07	21:10	21:12	21:14	21:17	21:20	21:22	21:25	
20:55	21:01	21:04	21:06	21:08	21:11	21:13	21:15	-----	-----	-----	-----	-----	-----	-----	-----	
-----	-----	-----	21:17	21:19	21:22	21:24	21:26	-----	-----	-----	-----	-----	-----	-----	-----	
21:10	21:16	21:19	21:21	21:23	21:26	21:28	21:30	21:33	21:37	21:39	21:41	21:43	21:46	21:49	21:51	
21:25	21:31	21:34	21:36	21:38	21:41	21:43	21:45	-----	-----	-----	-----	-----	-----	-----	-----	
21:40	21:46	21:49	21:51	21:53	21:56	21:58	22:00	22:03	22:07	22:09	22:11	22:13	22:16	22:19	22:21	
21:55	22:01	22:04	22:06	22:08	22:11	22:13	22:15	-----	-----	-----	-----	-----	-----	-----	-----	
-----	-----	-----	22:17	22:19	22:22	22:24	22:26	-----	-----	-----	-----	-----	-----	-----	-----	
22:10	22:16	22:19	22:21	22:23	22:26	22:28	22:30	22:33	22:37	22:39	22:41	22:43	22:46	22:49	22:51	
22:25	22:31	22:34	22:36	22:38	22:41	22:43	22:45	-----	-----	-----	-----	-----	-----	-----	-----	
22:40	22:46	22:49	22:51	22:53	22:56	22:58	23:00	23:03	23:07	23:09	23:11	23:13	23:16	23:19	23:21	
22:55	23:01	23:04	23:06	23:08	23:11	23:13	23:15	-----	-----	-----	-----	-----	-----	-----	-----	
-----	-----	-----	23:17	23:19	23:22	23:24	23:26	-----	-----	-----	-----	-----	-----	-----	-----	
23:10	23:16	23:19	23:21	23:23	23:26	23:28	23:30	23:33	23:37	23:39	23:41	23:43	23:46	23:48	23:51	
23:25	23:31	23:34	23:36	23:38	23:41	23:43	23:45	-----	-----	-----	-----	-----	-----	-----	-----	
23:40	23:46	23:49	23:51	23:53	23:56	23:58	00:00	00:03	00:07	00:09	00:11	00:13	00:16	00:18	00:21	
23:55	00:01	00:04	00:06	00:08	00:11	00:13	00:15	-----	-----	-----	-----	-----	-----	-----	-----	
-----	-----	-----	00:17	00:19	00:22	00:24	00:26	-----	-----	-----	-----	-----	-----	-----	-----	
00:10	00:16	00:19	00:21	00:23	00:26	00:28	00:30	00:33	00:37	00:39	00:41	00:43	00:46	00:48	00:51	
00:25	00:31	00:34	00:36	00:38	00:41	00:43	00:45	-----	-----	-----	-----	-----	-----	-----	-----	
00:47	00:53	00:56	00:58	01:00	01:03	01:05	01:07	01:10	01:14	01:16	01:18	01:20	01:23	01:25	01:28	
01:08	01:17	01:20	01:22	01:24	01:29	01:29	01:32	-----	-----	-----	-----	-----	-----	-----	-----	
05:52	05:58	06:01	06:03	06:05	06:08	06:10	06:13	-----	-----	-----	-----	-----	-----	-----	-----	
-----	-----	-----	06:30	06:32	06:35	06:37	06:39	-----	-----	-----	-----	-----	-----	-----	-----	
06:22	06:28	06:31	06:34	06:36	06:39	06:41	06:43	-----	-----	-----	-----	-----	-----	-----	-----	
06:33	06:39	06:42	06:44	06:46	06:49	06:51	06:53	06:56	07:00	07:02	07:04	07:06	07:09	07:11	07:14	
06:52	06:58	07:01	07:04	07:06	07:09	07:11	07:13	-----	-----	-----	-----	-----	-----	-----	-----	
07:06	07:12	07:15	07:18	07:20	07:23	07:26	07:28	-----	-----	-----	-----	-----	-----	-----	-----	
-----	-----	-----	07:29	07:31	07:33	07:36	07:38	-----	-----	-----	-----	-----	-----	-----	-----	
07:21	07:27	07:30	07:33	07:35	07:38	07:41	07:43	-----	-----	-----	-----	-----	-----	-----	-----	
07:33	-----	-----	07:42	-----	-----	-----	07:47	07:52	07:55	07:58	08:00	08:03	08:06	08:09	08:11	
07:36	07:42	07:45	07:48	07:50	07:53	07:56	07:58	-----	-----	-----	-----	-----	-----	-----	-----	
07:51	07:57	08:00	08:03	08:05	08:08	08:11	08:13	-----	-----	-----	-----	-----	-----	-----	-----	
08:03	-----	-----	08:12	-----	-----	-----	08:17	08:22	08:25	08:27	08:30	08:32	08:36	08:38	08:41	
08:06	08:12	08:15	08:18	08:20	08:23	08:26	08:28	-----	-----	-----	-----	-----	-----	-----	-----	
-----	-----	-----	08:29	08:31	08:33	08:36	08:38	-----	-----	-----	-----	-----	-----	-----	-----	
08:21	08:27	08:30	08:33	08:35	08:38	08:41	08:43	-----	-----	-----	-----	-----	-----	-----	-----	
08:33	-----	-----	08:42	-----	-----	-----	08:47	08:52	08:55	08:57	09:00	09:02	09:06	09:08	09:11	
08:36	08:42	08:45	08:48	08:50	08:53	08:56	08:58	-----	-----	-----	-----	-----	-----	-----	-----	
08:51	08:57	09:00	09:03	09:05	09:08	09:11	09:13	-----	-----	-----	-----	-----	-----	-----	-----	
09:06	-----	-----	09:15	-----	-----	-----	09:20	09:24	09:28	09:30	09:32	09:34	09:38	09:40	09:43	
09:09	09:15	09:18	09:20	09:23	09:25	09:28	09:30	-----	-----	-----	-----	-----	-----	-----	-----	
-----	-----	-----	09:30	09:32	09:35	09:37	09:39	-----	-----	-----	-----	-----	-----	-----	-----	
09:24	09:30	09:33	09:35	09:38	09:40	09:43	09:46	-----	-----	-----	-----	-----	-----	-----	-----	
09:37	-----	-----	09:46	-----	-----	-----	09:51	09:54	09:58	10:00	10:02	10:05	10:08	10:10	10:13	
09:39	09:45	09:48	09:50	09:53	09:55	09:58	10:01	-----	-----	-----	-----	-----	-----	-----	-----	
09:54	10:00	10:03	10:05	10:08	10:10	10:13	10:16	-----	-----	-----	-----	-----	-----	-----	-----	
10:07	-----	-----	10:16	-----	-----	-----	10:21	10:24	10:28	10:30	10:32	10:35	10:38	10:40	10:43	
10:09	10:15	10:18	10:20	10:23	10:25	10:28	10:31	-----	-----	-----	-----	-----	-----	-----	-----	
-----	-----	-----	10:30	10:32	10:35	10:37	10:39	-----	-----	-----	-----	-----	-----	-----	-----	
10:24	10:30	10:33	10:35	10:38	10:40	10:43	10:46	-----	-----	-----	-----	-----	-----	-----	-----	
10:37	-----	-----	10:46	-----	-----	-----	10:51	10:54	10:58	11:00	11:02	11:05	11:08	11:10	11:13	
10:39	10:45	10:48	10:50	10:53	10:55	10:58	11:01	-----	-----	-----	-----	-----	-----	-----	-----	
10:54	11:00	11:03	11:05	11:08	11:10	11:13	11:16	-----	-----	-----	-----	-----	-----	-----	-----	
11:07	-----	-----	11:16	-----	-----	-----	11:21	11:24	11:28	11:30	11:32	11:35	11:38	11:40	11:43	
11:09	11:15	11:18	11:20	11:23	11:25	11:28	11:31	-----	-----	-----	-----	-----	-----	-----	-----	
-----	-----	-----	11:30	11:32	11:35	11:37	11:39	-----	-----	-----	-----	-----	-----	-----	-----	
